دسته,شاخص,کد World Bank,کد Data360,واحد,سال,مقدار,سال مقایسه قبلی,تغییر نسبت به مقدار قبلی,تغییر نسبت به مقدار قبلی %
رشد اقتصادی,مصرف خانوار (% GDP),NE.CON.PRVT.ZS,WB_WDI_NE_CON_PRVT_ZS,PT_GDP,2024,84.765185,2023.0,1.597834000000006,1.9212274778356304
رشد اقتصادی,مصرف خانوار (% GDP),NE.CON.PRVT.ZS,WB_WDI_NE_CON_PRVT_ZS,PT_GDP,2025,,,,
رشد اقتصادی,مصرف خانوار (% GDP),NE.CON.PRVT.ZS,WB_WDI_NE_CON_PRVT_ZS,PT_GDP,2026,,,,
رشد اقتصادی,سرمایه‌گذاری کل (% GDP),NE.GDI.TOTL.ZS,WB_WDI_NE_GDI_TOTL_ZS,PT_GDP,2010,15.961552,,,
رشد اقتصادی,سرمایه‌گذاری کل (% GDP),NE.GDI.TOTL.ZS,WB_WDI_NE_GDI_TOTL_ZS,PT_GDP,2011,14.631628,2010.0,-1.329924,-8.33204690872166
رشد اقتصادی,سرمایه‌گذاری کل (% GDP),NE.GDI.TOTL.ZS,WB_WDI_NE_GDI_TOTL_ZS,PT_GDP,2012,15.168987,2011.0,0.5373590000000004,3.672585169606556
رشد اقتصادی,سرمایه‌گذاری کل (% GDP),NE.GDI.TOTL.ZS,WB_WDI_NE_GDI_TOTL_ZS,PT_GDP,2013,14.98238,2012.0,-0.1866070000000004,-1.230187618988667
رشد اقتصادی,سرمایه‌گذاری کل (% GDP),NE.GDI.TOTL.ZS,WB_WDI_NE_GDI_TOTL_ZS,PT_GDP,2014,14.907554,2013.0,-0.07482599999999984,-0.49942665984976914
رشد اقتصادی,سرمایه‌گذاری کل (% GDP),NE.GDI.TOTL.ZS,WB_WDI_NE_GDI_TOTL_ZS,PT_GDP,2015,15.810931,2014.0,0.9033770000000008,6.059860658562772
رشد اقتصادی,سرمایه‌گذاری کل (% GDP),NE.GDI.TOTL.ZS,WB_WDI_NE_GDI_TOTL_ZS,PT_GDP,2016,15.935747,2015.0,0.12481599999999915,0.7894285289082543
رشد اقتصادی,سرمایه‌گذاری کل (% GDP),NE.GDI.TOTL.ZS,WB_WDI_NE_GDI_TOTL_ZS,PT_GDP,2017,16.332891,2016.0,0.39714400000000083,2.49215803940663
رشد اقتصادی,سرمایه‌گذاری کل (% GDP),NE.GDI.TOTL.ZS,WB_WDI_NE_GDI_TOTL_ZS,PT_GDP,2018,17.068291,2017.0,0.7353999999999985,4.502570916563385
رشد اقتصادی,سرمایه‌گذاری کل (% GDP),NE.GDI.TOTL.ZS,WB_WDI_NE_GDI_TOTL_ZS,PT_GDP,2019,15.499645,2018.0,-1.5686459999999993,-9.190410451755243
رشد اقتصادی,سرمایه‌گذاری کل (% GDP),NE.GDI.TOTL.ZS,WB_WDI_NE_GDI_TOTL_ZS,PT_GDP,2020,14.81554,2019.0,-0.6841049999999989,-4.4136817327106455
رشد اقتصادی,سرمایه‌گذاری کل (% GDP),NE.GDI.TOTL.ZS,WB_WDI_NE_GDI_TOTL_ZS,PT_GDP,2021,14.534692,2020.0,-0.28084800000000065,-1.895631208852331
رشد اقتصادی,سرمایه‌گذاری کل (% GDP),NE.GDI.TOTL.ZS,WB_WDI_NE_GDI_TOTL_ZS,PT_GDP,2022,15.560543,2021.0,1.0258509999999994,7.057947977156993
رشد اقتصادی,سرمایه‌گذاری کل (% GDP),NE.GDI.TOTL.ZS,WB_WDI_NE_GDI_TOTL_ZS,PT_GDP,2023,13.968147,2022.0,-1.592395999999999,-10.233550333044285
رشد اقتصادی,سرمایه‌گذاری کل (% GDP),NE.GDI.TOTL.ZS,WB_WDI_NE_GDI_TOTL_ZS,PT_GDP,2024,13.166532,2023.0,-0.801615,-5.738878607162425
رشد اقتصادی,سرمایه‌گذاری کل (% GDP),NE.GDI.TOTL.ZS,WB_WDI_NE_GDI_TOTL_ZS,PT_GDP,2025,,,,
رشد اقتصادی,سرمایه‌گذاری کل (% GDP),NE.GDI.TOTL.ZS,WB_WDI_NE_GDI_TOTL_ZS,PT_GDP,2026,,,,
درآمد و فقر,فقر زیر ۲.۱۵$/روز (%),SI.POV.DDAY,WB_WDI_SI_POV_DDAY,PT_POP,2010,26.7,,,
درآمد و فقر,فقر زیر ۲.۱۵$/روز (%),SI.POV.DDAY,WB_WDI_SI_POV_DDAY,PT_POP,2011,25.9,2010.0,-0.8000000000000007,-2.996254681647943
درآمد و فقر,فقر زیر ۲.۱۵$/روز (%),SI.POV.DDAY,WB_WDI_SI_POV_DDAY,PT_POP,2012,,,,
درآمد و فقر,فقر زیر ۲.۱۵$/روز (%),SI.POV.DDAY,WB_WDI_SI_POV_DDAY,PT_POP,2013,21.2,2011.0,-4.699999999999999,-18.146718146718143
درآمد و فقر,فقر زیر ۲.۱۵$/روز (%),SI.POV.DDAY,WB_WDI_SI_POV_DDAY,PT_POP,2014,,,,
درآمد و فقر,فقر زیر ۲.۱۵$/روز (%),SI.POV.DDAY,WB_WDI_SI_POV_DDAY,PT_POP,2015,16.9,2013.0,-4.300000000000001,-20.283018867924532
درآمد و فقر,فقر زیر ۲.۱۵$/روز (%),SI.POV.DDAY,WB_WDI_SI_POV_DDAY,PT_POP,2016,,,,
درآمد و فقر,فقر زیر ۲.۱۵$/روز (%),SI.POV.DDAY,WB_WDI_SI_POV_DDAY,PT_POP,2017,,,,
درآمد و فقر,فقر زیر ۲.۱۵$/روز (%),SI.POV.DDAY,WB_WDI_SI_POV_DDAY,PT_POP,2018,16.5,2015.0,-0.3999999999999986,-2.3668639053254354
درآمد و فقر,فقر زیر ۲.۱۵$/روز (%),SI.POV.DDAY,WB_WDI_SI_POV_DDAY,PT_POP,2019,,,,
درآمد و فقر,فقر زیر ۲.۱۵$/روز (%),SI.POV.DDAY,WB_WDI_SI_POV_DDAY,PT_POP,2020,,,,
