Sectors,Sub-Sectors-Level1,Sub-Sectors-Level2,1965-66,1966-67,1967-68,1968-69,1969-70,1970-71,1971-72,1972-73,1973-74,1974-75,1975-76,1976-77,1977-78,1978-79,1979-80,1980-81,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87,1987-88,1988-89,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,2025-26
,Motorcycle (2 Wheels) (Numbers),,,66113,71471,80762,89845,106033,126564,138335,152500,175388,209394,254716,294679,358265,428546,508335,548242,636196,709213,790004,879108,946861,1021966,1093933,1158609,1250749,1381136,1497017,1573370,1679259,1754737,1842531,1995421,2068730,2175488,2260772,2346056,2407466,2444567,2681066,2757842,2895734,3039815,3215583,4305121,5781953,7500182,9169528,11006421,13081400,15230960,17518365,19796577,22001277,23407865,25330702,26904510,28085965,28852582,30456102,
,Motorcycle (3 Wheels) (Numbers),,,15153,15808,17519,17406,19405,20705,21452,22555,25129,27232,29424,32161,35787,40464,45906,45329,45525,46281,46841,47101,47669,48513,48880,49380,50862,52439,56267,59510,62183,63370,69756,76224,81777,95345,99376,103407,115919,122448,124076,136394,143215,156068,167910,201827,266390,323189,380579,466185,559114,671403,763076,843300,919020,951425,984293,1001862,1023234,1058536,1087209,
,Motor Cars Jeeps & Station Wagons (Numbers),,,89213,96089,108401,112542,141746,153498,156571,162022,173483,190868,208442,216224,252063,280472,262636,282572,304449,339543,382729,428257,474744,526254,575337,630342,682636,731960,819350,868159,902654,923577,966747,1068116,1085969,1162876,1182307,1201738,1282371,1292888,1301406,1372191,1440801,1549854,1657860,1726347,1881560,2094289,2281083,2437735,2715322,2933668,3196542,3495581,3703649,3833616,4085738,4354914,4493328,4674328,4889104,
,Motorcabs/ Taxis (Numbers),,,7922,8354,9366,10707,12819,13505,14043,15324,16368,17380,18454,18817,21267,23156,18951,19571,20715,22889,23176,24720,25419,26844,27805,29668,32304,33235,41245,47897,52444,53400,54501,83182,83687,83844,83892,93940,83954,84277,84311,105373,103397,104431,106463,122882,124651,143859,145234,145424,167678,170759,170890,171117,171179,171462,171679,171884,172182,174308,175083,
,Buses (Numbers),,,14393,14852,17498,18712,21600,23860,26583,29718,33584,36588,39356,42404,44501,47618,50001,51245,51710,53749,58596,62074,71690,75996,79556,81533,84016,89094,94988,98681,107440,113516,114415,119365,125929,150108,154401,158694,162672,162957,163242,175589,184368,187367,195163,198790,202476,215374,220347,224403,229290,235614,242194,249198,253996,255409,257389,259227,260836,262505,265082,
,Trucks (Numbers),,,30683,30468,34943,35834,42003,44078,45842,49345,53709,57638,62118,57802,61903,66494,58654,59553,63021,66966,70338,75655,81019,87746,94283,102726,105245,107171,111391,114394,118389,119174,123658,131322,132895,145111,148569,157027,170615,178883,181150,189950,199447,202574,210944,216119,225075,240888,247197,253574,261845,269471,278120,284949,288652,293460,296254,299030,301258,303782,307659,
,Others (Numbers),,,10007,10842,13566,16846,20133,21089,23357,26352,33243,45949,62004,81315,102318,128787,165273,183080,217341,246511,287988,323838,369905,413990,450115,485659,507025,528878,558926,589281,615497,642174,666549,700315,724309,746718,772279,797840,825552,846017,860480,896014,940851,961646,1005441,1081916,1178890,1270788,1340963,1406819,1487460,1555975,1643489,1725445,1799789,1844302,1907607,299030,2012757,2055341,2117258,
,Total (Numbers),,,233484,247884,282055,301892,363739,403299,426183,457816,510904,585049,674514,743402,876104,1015537,1109756,1189592,1338957,1485152,1659672,1840753,2017307,2201309,2369909,2537917,2712837,2923913,3179184,3351292,3537866,3669948,3838157,4173945,4303296,4559490,4701596,4843702,5048549,5132037,5395731,5633353,5907813,6201755,6559364,7853002,9660995,11788569,13784931,15940561,18502109,21067850,23812676,26566167,29137562,30757539,33033662,34958781,36349560,37381382,39297497,
Motor Vehicles on Road-HCV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mcy/Scooter (in 000 Nos.),,,41.8,44.4,53.2,64.1,73.9,82.1,95.4,99.1,113,135.1,166.8,206.4,241.9,287.6,326.4,376.1,424.2,517.4,581.3,657.6,700,752,818.4,896.2,896.2,971.8,1165.5,1287.3,1482,1481.9,1576,1691.4,1833.7,2010,2218.9,2481.1,2656.2,2882.5,3064.9,3791,4463.9,5037,5368,5412.1,5468.8,6015.7,5550,6100,6405,6669.3,11975.3,14060.9,14623.3,22808.8,24722.3,26505.2,27845.1,28782.9,30520,
