Sectors,Sub-Sectors-Level1,Sub-Sectors-Level2,1973-74,1974-75,1975-76,1976-77,1977-78,1978-79,1979-80,1980-81,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87,1987-88,1988-89,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,2025-26
,"PENTAVALENT (Vaccine/doze), III (000)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6532.5,6673.8,6619.3,
Doctor Consulting Fee in Various Cities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Faisalabad (Rs),,15,20,20,20,20,40,40,70,30,50,20,20,20,20,20,48.33,51.67,42,31.67,32.54,32.5,37.5,30,35,35,35,40,40,40,40,41.25,41.25,41.25,43.75,75,75,75,80,90,90,90,125,125,135.42,250,250,264.47,300,320.33,350.23,474.79,566.19,
,Gujranwala (Rs),,15,15,20,20,20,20,32,32,32,,20,32,32,32,32,32,32.5,32.5,32.5,43.75,40,40,40,40,40,40,40,40,50,50,50,50,50,50,65,65,75,75,75,75,75,75,75,77.08,100,100,100,183.33,200,275,300,300,
,Hyderabad (Rs),,20,20,23.75,28.75,32.14,33.75,35,36,50,58.75,45,55,55,55,50,50,50,50,66.67,80,65,65.71,53,46.25,33.75,33.75,33.75,33.75,30,31.25,33,33.75,33.75,50,50,50,60,68.75,80,100,100,100,100,100,100,100,100,109.63,144.53,208.04,229.62,391.73,
,Islamabad (Rs),,18.75,20,23.75,35,22.5,,50,50,60,60,55,50,50,26.25,26.25,26.88,26.88,27.5,27.5,27.5,27.5,27.5,32.5,32.5,33.44,33.44,33.13,33.13,33.13,45,45,46.25,55,55,75,75,90,100,200,146.25,175,175,175,220.83,225,225,334.56,389.13,510.91,642.83,694.23,807.68,
,Karachi (Rs),,20,25,27.75,25,34,48,54.44,60,60,60,36.11,30,26.39,26.7,26.54,25.91,26.54,27.09,26.49,28.85,31,32.24,31.88,31.88,31.6,32.17,32.4,33,35,36.35,36.25,38.08,41.73,55,80,93.85,93.85,93.85,100,100,100,100,100,141.28,173.39,197.43,210.18,226.41,240.71,324.85,348.79,263.36,
,Lahore (Rs),,15,15,17.5,20,20,28.33,47.5,47.5,50,50,10,10,14.17,24.29,24.29,24.29,30,24.64,24.64,27.14,24.64,30,27.86,27.86,33.21,33.93,38.93,41.96,41.25,41.96,41.96,44.29,52.68,52.68,63.21,68.93,68.93,70,70.36,100,100,100,100,100,118.75,125,160.14,195.33,209,238.08,349.56,448.89,
,Peshawar (Rs),,20,20,23.13,25,33.13,35,37.5,50,12,12,15.63,20,20,20,20,20,22.5,22.5,22.5,27.5,30,30,30,30,30,30,30,43.33,43.33,50,50,50,50,50,100,100,125,166.67,191.61,225,220.83,266.67,266.67,266.67,266.67,266.67,462.83,589.43,641.72,780.8,992.34,1243.83,
,Quetta (Rs),,17.5,25,28.13,35,40,35,37.5,32.5,37.5,37.5,45,45,45,46.25,67,67,57,60,52.5,52.5,82.5,90,80,80,107.5,107.5,107.5,107.5,95,100,100,100,100,120,130,120,130,180,200,200,200,200,200,200,200,200,212.09,216.94,276.13,297.2,297.2,343.4,
,Rawalpindi (Rs),,20,22.5,27.19,35,35,45,50,50,50,50,50,50,50,25.42,25.42,25.42,25.83,26.67,29.17,29.17,29.17,30,30,30.83,30,31.25,32.92,33.75,33.96,38.75,38.75,42.08,43.75,43.75,61.67,61.67,71.67,85,110,135,166.67,166.67,166.67,212.5,216.67,216.67,305.87,354.74,472.23,557.36,595.78,691.41,
,Sukkur (Rs),,16,17.5,20,20,20,35,35,25,40,50,50,35,30,30,30,30,35,40,75,75,70,75,55,60,30,30,30,30,30,30,30,30,50,75,75,75,100,100,100,100,100,100,100,100,135.42,150,185.38,200,245.85,293.68,300,300,
,Pakistan (Rs),,17.73,20,23.12,26.38,27.68,32.01,41.89,45.3,42.15,42.83,34.67,34.7,34.26,30.59,32.15,34.98,35.79,35.29,38.86,42.4,43.23,45.79,41.02,41.43,40.45,40.75,41.86,43.64,43.17,46.33,46.62,47.57,51.81,59.52,77.49,78.45,88.95,101.93,121.7,127.13,132.75,140.83,140.83,155.38,178.59,228.16,254.29,289.61,337.04,405.2,474.17,526.47,
