Sectors,Sub-Sectors-Level1,Sub-Sectors-Level2,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,2025-26
,,Small Scale (% of GDP),0.9,0.9,1,1,1,1,1,1,1.1,1.2,1.2,1.3,1.4,1.4,1.5,1.6,1.6,1.7,1.7,1.8,1.9,1.9,2,2.2,2.3,2.4,
,,Slaughtering (% of GDP),0.9,0.9,1,1,0.9,0.9,0.9,0.9,0.9,0.9,1,1,1,1,1.1,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.3,1.3,1.4,
,"Electricity, Gas & Water Supply (% of GDP)",,3,2.8,2.5,2.4,3,2.7,1.6,1.4,1.8,1.7,1.9,2.8,2.7,2.1,2,2.2,2.2,2.2,2.2,2.3,2.4,2.4,2.4,2.6,2.1,2.6,
,Construction (% of GDP),,2.4,2.4,2.3,2.3,2.1,2.4,2.6,2.7,3,2.7,2.9,2.6,2.5,2.6,2.6,2.7,2.9,3.1,3.5,2.8,2.7,2.6,2.5,2.3,2.2,2.3,
,Commodity Producing Sector (% of GDP),,48.5,47.8,47.3,47,47.3,47.2,45.7,45.7,45.5,45.1,44.9,45.1,45,44.3,44.1,43.9,43.4,42.9,42.9,41.9,42.1,42,41.7,41.6,41.8,41.8,
Services Sector at Basic Prices (% of GDP),,,51.5,52.2,52.7,53,52.7,52.8,54.3,54.3,54.5,54.9,55.1,54.9,55,55.7,55.9,56.1,56.6,57.1,57.1,58.1,57.9,58,58.3,58.4,58.2,58.2,
,Wholesale & Retail Trade (% of GDP),,17.6,17.8,17.7,17.8,18.1,19,19.5,19.5,19.5,18.7,18.5,18.2,17.8,17.7,17.9,17.6,17.6,17.9,18.1,18.1,17.3,18.2,18.9,18.1,18.3,17.8,
,Transport & Storage (% of GDP),,11.1,11.4,11.3,11.3,11,10.7,10.6,10.9,10.6,11.3,11.3,11.3,11.1,11.2,11.3,11.4,11.3,11.2,11,11.4,10.5,10.4,10.2,10.6,10.6,10.5,
,Accommodation and Food Services Activities (Hotels & Restaurants) (% of GDP),,0.9,1,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.3,1.3,1.3,1.3,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.5,1.5,1.5,
,Information and Communication (% of GDP),,0.6,0.6,0.6,0.6,0.7,0.9,1.1,1.3,1.6,1.9,1.8,1.7,2,2,1.9,1.9,2,2.1,2.1,2.2,2.5,2.6,2.9,2.9,2.9,3,
,Finance and Insurance Activities (% of GDP),,1.4,1.5,1.6,1.6,1.7,1.9,2,2.1,2.2,2.1,1.9,1.7,1.6,1.7,1.7,1.7,1.7,1.8,1.8,1.9,1.9,1.9,1.9,1.7,1.4,1.5,
,Real Estate Activities (OD) (% of GDP),,6,6,6.1,6,5.7,5.5,5.4,5.3,5.3,5.4,5.5,5.6,5.6,5.6,5.6,5.7,5.7,5.6,5.5,5.5,5.8,5.7,5.6,5.8,5.8,5.9,
,Public Administration and Social Security (General Government) (% of GDP),,4.9,4.8,5,5,4.9,4.8,5,4.7,4.5,4,4.2,4.4,4.8,5.1,4.5,4.6,4.8,4.9,5.1,5.1,5.3,5,4.8,4.4,4,4.2,
,Education (% of GDP),,2.2,2.2,2.3,2.5,2.5,2.4,2.7,2.6,2.7,2.9,2.8,2.8,2.7,2.8,3.1,2.9,3.1,2.9,2.9,2.8,3,2.8,2.8,3,3.1,3.1,
,Human Health and Social Work Activities (% of GDP),,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.9,1.1,1.2,1.1,1.2,1.3,1.3,1.3,1.4,1.5,1.5,1.5,1.6,1.6,1.5,1.7,1.7,1.7,
