chapter_num,chapter_name,chapter_fa,path,name,level,last_year,last_value,first_year,first_value,n_points
11,Education,آموزش,"Number of Educational Institutions By Kind, Level & Sex > Technical & Vocational Institutions (Numbers), Total","Technical & Vocational Institutions (Numbers), Total",1,2024-25,4746,1970-71,206,55
11,Education,آموزش,"Number of Educational Institutions By Kind, Level & Sex > Technical & Vocational Institutions (Numbers), Female","Technical & Vocational Institutions (Numbers), Female",1,2024-25,1942,1970-71,97,55
11,Education,آموزش,"Number of Educational Institutions By Kind, Level & Sex > Higher Sec/Inter Colleges (Numbers), Total","Higher Sec/Inter Colleges (Numbers), Total",1,2024-25,13304,1970-71,314,55
11,Education,آموزش,"Number of Educational Institutions By Kind, Level & Sex > Higher Sec/Inter Colleges (Numbers), Female","Higher Sec/Inter Colleges (Numbers), Female",1,2024-25,6886,1970-71,87,55
11,Education,آموزش,"Number of Educational Institutions By Kind, Level & Sex > Degree Colleges (Numbers), Total","Degree Colleges (Numbers), Total",1,2024-25,2383,1970-71,73,55
11,Education,آموزش,"Number of Educational Institutions By Kind, Level & Sex > Degree Colleges (Numbers), Female","Degree Colleges (Numbers), Female",1,2024-25,1233,1970-71,6,55
11,Education,آموزش,"Number of Educational Institutions By Kind, Level & Sex > Universities (Numbers)",Universities (Numbers),1,2024-25,239,1970-71,7,55
11,Education,آموزش,"Enrolment in Educational Institutions By Kind, Level & Sex","Enrolment in Educational Institutions By Kind, Level & Sex",0,,,,,0
11,Education,آموزش,"Enrolment in Educational Institutions By Kind, Level & Sex > Primary Stage I-V (000), Total","Primary Stage I-V (000), Total",1,2024-25,25722,1970-71,3960,55
11,Education,آموزش,"Enrolment in Educational Institutions By Kind, Level & Sex > Primary Stage I-V (000), Female","Primary Stage I-V (000), Female",1,2024-25,12569,1970-71,1040,55
11,Education,آموزش,"Enrolment in Educational Institutions By Kind, Level & Sex > Middle Stage VI-VIII (000), Total","Middle Stage VI-VIII (000), Total",1,2024-25,11630,1970-71,933,55
11,Education,آموزش,"Enrolment in Educational Institutions By Kind, Level & Sex > Middle Stage VI-VIII (000), Female","Middle Stage VI-VIII (000), Female",1,2024-25,5631,1970-71,178,55
11,Education,آموزش,"Enrolment in Educational Institutions By Kind, Level & Sex > High Stage IX-X (000), Total","High Stage IX-X (000), Total",1,2024-25,5803,1970-71,336,55
11,Education,آموزش,"Enrolment in Educational Institutions By Kind, Level & Sex > High Stage IX-X (000), Female","High Stage IX-X (000), Female",1,2024-25,2712,1970-71,67,55
11,Education,آموزش,"Enrolment in Educational Institutions By Kind, Level & Sex > Technical &Vocational (000), Total","Technical &Vocational (000), Total",1,2024-25,463,1970-71,35,55
11,Education,آموزش,"Enrolment in Educational Institutions By Kind, Level & Sex > Technical &Vocational (000), Female","Technical &Vocational (000), Female",1,2024-25,161,1970-71,10,55
11,Education,آموزش,"Enrolment in Educational Institutions By Kind, Level & Sex > Higher Sec/Inter Colleges (000), Total","Higher Sec/Inter Colleges (000), Total",1,2024-25,3169,1970-71,199,55
11,Education,آموزش,"Enrolment in Educational Institutions By Kind, Level & Sex > Higher Sec/Inter Colleges (000), Female","Higher Sec/Inter Colleges (000), Female",1,2024-25,1639,1970-71,50,55
11,Education,آموزش,"Enrolment in Educational Institutions By Kind, Level & Sex > Degree Colleges (Numbers), Total","Degree Colleges (Numbers), Total",1,2024-25,941535,1970-71,37245,55
11,Education,آموزش,"Enrolment in Educational Institutions By Kind, Level & Sex > Degree Colleges (Numbers), Female","Degree Colleges (Numbers), Female",1,2024-25,585520,1970-71,4612,55
11,Education,آموزش,"Enrolment in Educational Institutions By Kind, Level & Sex > Universities (Numbers), Total","Universities (Numbers), Total",1,2024-25,1964147,1970-71,17057,55
11,Education,آموزش,"Enrolment in Educational Institutions By Kind, Level & Sex > Universities (Numbers), Female","Universities (Numbers), Female",1,2024-25,898410,1970-71,3703,55
11,Education,آموزش,"Number of Teachers in Educational Institutions By Kind, Level & Sex","Number of Teachers in Educational Institutions By Kind, Level & Sex",0,,,,,0
11,Education,آموزش,"Number of Teachers in Educational Institutions By Kind, Level & Sex > Primary Schools (000), Total","Primary Schools (000), Total",1,2024-25,431.5,1970-71,96.3,55
11,Education,آموزش,"Number of Teachers in Educational Institutions By Kind, Level & Sex > Primary Schools (000), Female","Primary Schools (000), Female",1,2024-25,222.1,1970-71,27.2,55
11,Education,آموزش,"Number of Teachers in Educational Institutions By Kind, Level & Sex > Middle Schools (000), Total","Middle Schools (000), Total",1,2024-25,432.9,1970-71,34.2,55
11,Education,آموزش,"Number of Teachers in Educational Institutions By Kind, Level & Sex > Middle Schools (000), Female","Middle Schools (000), Female",1,2024-25,297.4,1970-71,8.6,55
11,Education,آموزش,"Number of Teachers in Educational Institutions By Kind, Level & Sex > High Schools (000), Total","High Schools (000), Total",1,2024-25,903.7,1970-71,36.4,55
11,Education,آموزش,"Number of Teachers in Educational Institutions By Kind, Level & Sex > High Schools (000), Female","High Schools (000), Female",1,2024-25,589.2,1970-71,10.2,55
11,Education,آموزش,"Number of Teachers in Educational Institutions By Kind, Level & Sex > Technical & Vocational Institutions (Numbers), Total","Technical & Vocational Institutions (Numbers), Total",1,2024-25,51442,1970-71,2208,55
11,Education,آموزش,"Number of Teachers in Educational Institutions By Kind, Level & Sex > Technical & Vocational Institutions (Numbers), Female","Technical & Vocational Institutions (Numbers), Female",1,2024-25,5451,1970-71,532,55
11,Education,آموزش,"Number of Teachers in Educational Institutions By Kind, Level & Sex > Higher Sec/Inter Colleges (Numbers), Total","Higher Sec/Inter Colleges (Numbers), Total",1,2024-25,369811,1970-71,8823,55
11,Education,آموزش,"Number of Teachers in Educational Institutions By Kind, Level & Sex > Higher Sec/Inter Colleges (Numbers), Female","Higher Sec/Inter Colleges (Numbers), Female",1,2024-25,211452,1970-71,2695,55
11,Education,آموزش,"Number of Teachers in Educational Institutions By Kind, Level & Sex > Degree Colleges (Numbers), Total","Degree Colleges (Numbers), Total",1,2024-25,57971,1970-71,1868,55
11,Education,آموزش,"Number of Teachers in Educational Institutions By Kind, Level & Sex > Degree Colleges (Numbers), Female","Degree Colleges (Numbers), Female",1,2024-25,24267,1970-71,225,55
11,Education,آموزش,"Number of Teachers in Educational Institutions By Kind, Level & Sex > Universities (Numbers), Total","Universities (Numbers), Total",1,2024-25,102123,1970-71,1568,55
11,Education,آموزش,"Number of Teachers in Educational Institutions By Kind, Level & Sex > Universities (Numbers), Female","Universities (Numbers), Female",1,2002-03,1375,1970-71,137,33
12,Health and Nutrition,سلامت و تغذیه,Hospitals (Numbers),Hospitals (Numbers),0,2024-25,1934,1973-74,521,52
12,Health and Nutrition,سلامت و تغذیه,Dispensaries (Numbers),Dispensaries (Numbers),0,2024-25,6239,1973-74,2566,52
12,Health and Nutrition,سلامت و تغذیه,BHUs Sub Health Centres (Numbers),BHUs Sub Health Centres (Numbers),0,2024-25,5746,1973-74,255,52
12,Health and Nutrition,سلامت و تغذیه,Maternity & Child Health Centres (Numbers),Maternity & Child Health Centres (Numbers),0,2024-25,905,1973-74,662,52
12,Health and Nutrition,سلامت و تغذیه,Rural Health Centres (Numbers),Rural Health Centres (Numbers),0,2024-25,802,1973-74,90,52
12,Health and Nutrition,سلامت و تغذیه,TB Centres (Numbers),TB Centres (Numbers),0,2024-25,486,1973-74,84,52
12,Health and Nutrition,سلامت و تغذیه,Total Beds (Numbers),Total Beds (Numbers),0,2024-25,173971,1973-74,35655,52
12,Health and Nutrition,سلامت و تغذیه,Population per Bed (Numbers),Population per Bed (Numbers),0,2024-25,1328,1973-74,1848,52
12,Health and Nutrition,سلامت و تغذیه,Registered Doctors (Numbers),Registered Doctors (Numbers),0,2024-25,336582,1973-74,5138,52
12,Health and Nutrition,سلامت و تغذیه,Registered Dentists (Numbers),Registered Dentists (Numbers),0,2024-25,42118,1973-74,549,52
12,Health and Nutrition,سلامت و تغذیه,Registered Nurses (Numbers),Registered Nurses (Numbers),0,2024-25,138391,1974-75,946,51
12,Health and Nutrition,سلامت و تغذیه,Registered Mid-wifes (Numbers),Registered Mid-wifes (Numbers),0,2024-25,46801,1974-75,522,51
12,Health and Nutrition,سلامت و تغذیه,Registered Lady Health Visitors (Numbers),Registered Lady Health Visitors (Numbers),0,2024-25,29163,1974-75,51,51
12,Health and Nutrition,سلامت و تغذیه,Population per Doctor (Numbers),Population per Doctor (Numbers),0,2024-25,698,1973-74,12824,52
12,Health and Nutrition,سلامت و تغذیه,Population per dentist (Numbers),Population per dentist (Numbers),0,2024-25,5576,1973-74,120018,52
12,Health and Nutrition,سلامت و تغذیه,Dev-exp (Rs. Million),Dev-exp (Rs. Million),0,2024-25,161484,1973-74,363,52
12,Health and Nutrition,سلامت و تغذیه,Non-Dev-exp (Rs. Million),Non-Dev-exp (Rs. Million),0,2024-25,780704,1973-74,278,52
12,Health and Nutrition,سلامت و تغذیه,EPIVP (Calendar Year Basis) (Vaccine/doze.),EPIVP (Calendar Year Basis) (Vaccine/doze.),0,,,,,0
12,Health and Nutrition,سلامت و تغذیه,EPIVP (Calendar Year Basis) (Vaccine/doze.) > B.C.G. (000),B.C.G. (000),1,2024-25,6956,1990-91,4673.51,33
12,Health and Nutrition,سلامت و تغذیه,"EPIVP (Calendar Year Basis) (Vaccine/doze.) > POLIO, 0 (000)","POLIO, 0 (000)",1,2024-25,6263,1992-93,983.03,31
12,Health and Nutrition,سلامت و تغذیه,"EPIVP (Calendar Year Basis) (Vaccine/doze.) > POLIO, I (000)","POLIO, I (000)",1,2024-25,7038.9,1990-91,5478.6,33
12,Health and Nutrition,سلامت و تغذیه,"EPIVP (Calendar Year Basis) (Vaccine/doze.) > POLIO, II (000)","POLIO, II (000)",1,2024-25,6646.1,1990-91,4278.84,33
12,Health and Nutrition,سلامت و تغذیه,"EPIVP (Calendar Year Basis) (Vaccine/doze.) > POLIO, III (000)","POLIO, III (000)",1,2024-25,6609.8,1990-91,4018.12,33
12,Health and Nutrition,سلامت و تغذیه,"EPIVP (Calendar Year Basis) (Vaccine/doze.) > POLIO, IV (000)","POLIO, IV (000)",1,1995-96,291.47,1995-96,291.47,1
12,Health and Nutrition,سلامت و تغذیه,"EPIVP (Calendar Year Basis) (Vaccine/doze.) > POLIO, BR (000)","POLIO, BR (000)",1,2011-12,86.14,1990-91,1028.44,22
12,Health and Nutrition,سلامت و تغذیه,"EPIVP (Calendar Year Basis) (Vaccine/doze.) > COMBO, I (000)","COMBO, I (000)",1,2008-09,5071.73,2007-08,3999.76,2
12,Health and Nutrition,سلامت و تغذیه,"EPIVP (Calendar Year Basis) (Vaccine/doze.) > COMBO, II (000)","COMBO, II (000)",1,2008-09,4612.52,2007-08,3720.09,2
12,Health and Nutrition,سلامت و تغذیه,"EPIVP (Calendar Year Basis) (Vaccine/doze.) > COMBO, III (000)","COMBO, III (000)",1,,,,,0
12,Health and Nutrition,سلامت و تغذیه,"EPIVP (Calendar Year Basis) (Vaccine/doze.) > D.P.T, I (000)","D.P.T, I (000)",1,2005-06,4581.35,1994-95,4091.29,12
12,Health and Nutrition,سلامت و تغذیه,"EPIVP (Calendar Year Basis) (Vaccine/doze.) > D.P.T, II (000)","D.P.T, II (000)",1,2005-06,4126.6,1994-95,3646.72,12
12,Health and Nutrition,سلامت و تغذیه,"EPIVP (Calendar Year Basis) (Vaccine/doze.) > D.P.T, III (000)","D.P.T, III (000)",1,2008-09,4356.17,1994-95,3406.26,14
12,Health and Nutrition,سلامت و تغذیه,"EPIVP (Calendar Year Basis) (Vaccine/doze.) > PENTAVALENT, I (000)","PENTAVALENT, I (000)",1,2024-25,7038.8,2009-10,5924.99,14
12,Health and Nutrition,سلامت و تغذیه,"EPIVP (Calendar Year Basis) (Vaccine/doze.) > PENTAVALENT, II (000)","PENTAVALENT, II (000)",1,2024-25,6657.2,2009-10,5461.29,14
12,Health and Nutrition,سلامت و تغذیه,"EPIVP (Calendar Year Basis) (Vaccine/doze.) > PENTAVALENT, III (000)","PENTAVALENT, III (000)",1,2024-25,6619.3,2009-10,5338.52,14
12,Health and Nutrition,سلامت و تغذیه,"EPIVP (Calendar Year Basis) (Vaccine/doze.) > Tetanus Toxoid, I (000)","Tetanus Toxoid, I (000)",1,2024-25,4909.5,1990-91,5191.84,33
12,Health and Nutrition,سلامت و تغذیه,"EPIVP (Calendar Year Basis) (Vaccine/doze.) > Tetanus Toxoid, II (000)","Tetanus Toxoid, II (000)",1,2024-25,4832.8,1990-91,3670.42,33
12,Health and Nutrition,سلامت و تغذیه,"EPIVP (Calendar Year Basis) (Vaccine/doze.) > Tetanus Toxoid, III (000)","Tetanus Toxoid, III (000)",1,2024-25,1883.3,1992-93,745.97,31
12,Health and Nutrition,سلامت و تغذیه,"EPIVP (Calendar Year Basis) (Vaccine/doze.) > Tetanus Toxoid, IV (000)","Tetanus Toxoid, IV (000)",1,2024-25,229.3,1992-93,87.67,31
12,Health and Nutrition,سلامت و تغذیه,"EPIVP (Calendar Year Basis) (Vaccine/doze.) > Tetanus Toxoid, V (000)","Tetanus Toxoid, V (000)",1,2024-25,94.2,1992-93,13.45,31
12,Health and Nutrition,سلامت و تغذیه,"EPIVP (Calendar Year Basis) (Vaccine/doze.) > MEASLES, I (000)","MEASLES, I (000)",1,2024-25,6293.8,1990-91,4392.78,33
12,Health and Nutrition,سلامت و تغذیه,"EPIVP (Calendar Year Basis) (Vaccine/doze.) > MEASLES, II (000)","MEASLES, II (000)",1,2024-25,6525.5,2009-10,1806.31,13
12,Health and Nutrition,سلامت و تغذیه,"EPIVP (Calendar Year Basis) (Vaccine/doze.) > PNEUMOCOCCAL (PCV10), I (000)","PNEUMOCOCCAL (PCV10), I (000)",1,2024-25,6885.4,2014-15,5526.3,11
12,Health and Nutrition,سلامت و تغذیه,"EPIVP (Calendar Year Basis) (Vaccine/doze.) > PNEUMOCOCCAL (PCV10), II (000)","PNEUMOCOCCAL (PCV10), II (000)",1,2024-25,6510.4,2014-15,5197.4,11
12,Health and Nutrition,سلامت و تغذیه,"EPIVP (Calendar Year Basis) (Vaccine/doze.) > PNEUMOCOCCAL (PCV10), III (000)","PNEUMOCOCCAL (PCV10), III (000)",1,2024-25,6451.1,2014-15,5072.4,11
12,Health and Nutrition,سلامت و تغذیه,"EPIVP (Calendar Year Basis) (Vaccine/doze.) > PENTAVALENT (Vaccine/doze), I (000)","PENTAVALENT (Vaccine/doze), I (000)",1,2024-25,7038.8,2022-23,6950.9,3
12,Health and Nutrition,سلامت و تغذیه,"EPIVP (Calendar Year Basis) (Vaccine/doze.) > PENTAVALENT (Vaccine/doze),II (000)","PENTAVALENT (Vaccine/doze),II (000)",1,2024-25,6657.2,2022-23,6518.1,3
12,Health and Nutrition,سلامت و تغذیه,"EPIVP (Calendar Year Basis) (Vaccine/doze.) > PENTAVALENT (Vaccine/doze), III (000)","PENTAVALENT (Vaccine/doze), III (000)",1,2024-25,6619.3,2022-23,6532.5,3
12,Health and Nutrition,سلامت و تغذیه,Doctor Consulting Fee in Various Cities,Doctor Consulting Fee in Various Cities,0,,,,,0
12,Health and Nutrition,سلامت و تغذیه,Doctor Consulting Fee in Various Cities > Faisalabad (Rs),Faisalabad (Rs),1,2024-25,566.19,1973-74,15,52
12,Health and Nutrition,سلامت و تغذیه,Doctor Consulting Fee in Various Cities > Gujranwala (Rs),Gujranwala (Rs),1,2024-25,300,1973-74,15,51
